"brewery_id","beer_name","beer_id","abv","ibu","style","ounces"
33,"Healani",2480,0.045,NA,"Hefeweizen",12
33,"Yabba Dhaba Chai Tea Porter",1525,0.055,NA,"American Porter",12
33,"A Capella Gluten Free Pale Ale",1524,0.055,NA,"American Pale Ale (APA)",12
33,"Casper White Stout",1523,0.06,NA,"American Blonde Ale",12
33,"JP's Ould Sod Irish Red IPA",1254,0.06,NA,"American IPA",12
34,"Surfrider",2594,0.052,35,"American Pale Ale (APA)",16
34,"Kolschtal Eddy",2035,0.055,NA,"Kölsch",16
34,"South Bay Session IPA",2034,0.05,NA,"American IPA",16
34,"Grandma's Pecan",1562,0.069,34,"English Brown Ale",16
34,"Double Trunk",1561,0.099,101,"American Double / Imperial IPA",16
35,"Grapefruit Sculpin",2593,0.07,NA,"American IPA",12
35,"Even Keel",2105,0.038,40,"American IPA",12
35,"Ballast Point Pale Ale",1401,0.052,23,"Kölsch",12
35,"Big Eye India Pale Ale",1400,0.07,75,"American IPA",12
35,"Longfin Lager",1019,0.046,NA,"Munich Helles Lager",12
35,"Sculpin IPA",1018,0.07,70,"American IPA",12
36,"Liberty Ale",2592,0.059,NA,"American IPA",12
36,"IPA",2578,0.065,NA,"American IPA",12
36,"Summer Wheat",2577,0.045,NA,"American Pale Wheat Ale",12
36,"California Lager",2103,0.049,NA,"American Amber / Red Lager",12
36,"Brotherhood Steam",2102,0.056,NA,"California Common / Steam Beer",12
37,"Weiss Weiss Baby",2591,0.045,NA,"Kristalweizen",12
37,"Czech Yo Self",2590,0.055,45,"Czech Pilsener",12
37,"FMB 101",1968,0.048,20,"Kölsch",12
38,"Raja",2589,0.08,NA,"American Double / Imperial IPA",12
38,"Perzik Saison",2546,0.064,NA,"Saison / Farmhouse Ale",12
38,"Avery Joe’s Premium American Pilsner",146,0.047,42,"German Pilsener",12
38,"White Rascal",108,0.056,10,"Witbier",12
38,"Avery India Pale Ale",107,0.063,69,"American IPA",12
38,"Ellie’s Brown Ale",106,0.055,17,"American Brown Ale",12
39,"Cow Creek",2588,0.054,26,"American Amber / Red Lager",12
39,"Chupahopra",2458,0.075,63,"American IPA",12
39,"Twisted X",2212,0.051,19,"American Adjunct Lager",12
40,"Vanilla Porter",2587,0.07,11,"American Porter",16
41,"Blueberry Blonde",2586,0.06,NA,"Fruit / Vegetable Beer",12
41,"Galaxy IPA",2585,0.075,60,"American IPA",16
42,"Gose",2584,0.046,8,"Gose",16
42,"Vermont Pilsner",2583,0.048,20,"German Pilsener",16
42,"Mosaic Single Hop IPA",2582,0.055,NA,"American IPA",16
42,"Lost Galaxy",2581,0.045,NA,"American IPA",16
43,"Gose",2580,0.035,NA,"Gose",16
43,"Maine Island Trail Ale",1807,0.043,NA,"American Pale Ale (APA)",16
44,"Jah Mon",2579,0.05,100,"American IPA",12
44,"Oktoberfest",2373,0.062,NA,"Märzen / Oktoberfest",12
44,"Headless Wylie",2049,0.08,NA,"Pumpkin Ale",12
44,"Dayman IPA",2048,0.05,NA,"American IPA",12
44,"All Aboard! Anniversary Stout",1880,0.071,NA,"Oatmeal Stout",12
44,"Hop Lace",1879,0.062,NA,"American White IPA",12
44,"OH-PA Session Pale Ale",1878,0.048,NA,"American Pale Ale (APA)",12
44,"Patrick's Poison",1877,0.08,NA,"American Amber / Red Ale",12
44,"Rudolph's Red",1764,0.081,NA,"American Amber / Red Ale",12
44,"Babbling Blonde",1103,0.053,NA,"American Blonde Ale",12
